DAY_OF_WEEK,FL_DATE,MKT_UNIQUE_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER,MKT_CARRIER_FL_NUM,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,DUP,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,FIRST_DEP_TIME
1,1/6/2025 12:00:00 AM,AA,19805,AA,1,N105NN,12478,31703,JFK,12892,32575,LAX,0659,0703,4.00,4.00,0.00,0,0600-0659,28.00,9.00,1020,1012,-8.00,0.00,0.00,-1,1000-1059,0.00,,0.00,N,381.00,369.00,332.00,1.00,2475.00,10,
1,1/6/2025 12:00:00 AM,AA,19805,AA,10,N103NN,12889,32211,LAS,12478,31703,JFK,2238,2228,-10.00,0.00,0.00,-1,2200-2259,14.00,5.00,0630,0557,-33.00,0.00,0.00,-2,0600-0659,0.00,,0.00,N,292.00,269.00,250.00,1.00,2248.00,9,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1002,N669AW,13485,33485,MSN,11057,31057,CLT,0644,0645,1.00,1.00,0.00,0,0600-0659,14.00,22.00,1005,1005,0.00,0.00,0.00,0,1000-1059,0.00,,0.00,N,141.00,140.00,104.00,1.00,708.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1004,N544UW,14100,34100,PHL,12889,32211,LAS,1855,1928,33.00,33.00,1.00,2,1800-1859,97.00,7.00,2134,2257,83.00,83.00,1.00,5,2100-2159,0.00,,0.00,N,339.00,389.00,285.00,1.00,2176.00,9,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1005,N968NN,13930,30977,ORD,14107,30466,PHX,0830,0845,15.00,15.00,1.00,1,0800-0859,31.00,4.00,1131,1139,8.00,8.00,0.00,0,1100-1159,0.00,,0.00,N,241.00,234.00,199.00,1.00,1440.00,6,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1006,N702UW,11109,30189,COS,11298,30194,DFW,1634,1850,136.00,136.00,1.00,9,1600-1659,13.00,5.00,1927,2125,118.00,118.00,1.00,7,1900-1959,0.00,,0.00,N,113.00,95.00,77.00,1.00,592.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1006,N702UW,11298,30194,DFW,11109,30189,COS,1500,1721,141.00,141.00,1.00,9,1500-1559,17.00,7.00,1554,1814,140.00,140.00,1.00,9,1500-1559,0.00,,0.00,N,114.00,113.00,89.00,1.00,592.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1007,N667AW,11057,31057,CLT,15016,31123,STL,2042,,,,,,2000-2059,,,2153,,,,,,2100-2159,1.00,B,0.00,N,131.00,,,1.00,575.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1008,N538UW,12953,31703,LGA,11057,31057,CLT,1920,2003,43.00,43.00,1.00,2,1900-1959,28.00,40.00,2129,2243,74.00,74.00,1.00,4,2100-2159,0.00,,0.00,N,129.00,160.00,92.00,1.00,544.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1009,N4005X,11503,31503,EGE,13303,32467,MIA,1150,1425,155.00,155.00,1.00,10,1100-1159,11.00,51.00,1803,2057,174.00,174.00,1.00,11,1800-1859,0.00,,0.00,N,253.00,272.00,210.00,1.00,1810.00,8,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1010,N755US,11298,30194,DFW,15016,31123,STL,2040,,,,,,2000-2059,,,2221,,,,,,2200-2259,1.00,B,0.00,N,101.00,,,1.00,550.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1011,N466AN,13303,32467,MIA,10721,30721,BOS,1227,1240,13.00,13.00,0.00,0,1200-1259,25.00,5.00,1610,1542,-28.00,0.00,0.00,-2,1600-1659,0.00,,0.00,N,223.00,182.00,152.00,1.00,1258.00,6,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1012,N468AN,14107,30466,PHX,11298,30194,DFW,0700,0702,2.00,2.00,0.00,0,0700-0759,12.00,36.00,1020,1033,13.00,13.00,0.00,0,1000-1059,0.00,,0.00,N,140.00,151.00,103.00,1.00,868.00,4,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1014,N669AW,11057,31057,CLT,13485,33485,MSN,2140,2336,116.00,116.00,1.00,7,2100-2159,21.00,5.00,2248,0048,120.00,120.00,1.00,8,2200-2259,0.00,,0.00,N,128.00,132.00,106.00,1.00,708.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1015,N433AN,11298,30194,DFW,14107,30466,PHX,1429,1428,-1.00,0.00,0.00,-1,1400-1459,36.00,6.00,1609,1622,13.00,13.00,0.00,0,1600-1659,0.00,,0.00,N,160.00,174.00,132.00,1.00,868.00,4,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1017,N971UY,11057,31057,CLT,10529,30529,BDL,1651,1856,125.00,125.00,1.00,8,1600-1659,14.00,6.00,1845,2127,162.00,162.00,1.00,10,1800-1859,0.00,,0.00,N,114.00,151.00,131.00,1.00,644.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1018,N140AN,14107,30466,PHX,11298,30194,DFW,0559,0602,3.00,3.00,0.00,0,0001-0559,14.00,24.00,0919,0923,4.00,4.00,0.00,0,0900-0959,0.00,,0.00,N,140.00,141.00,103.00,1.00,868.00,4,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1019,N829AW,11057,31057,CLT,11433,31295,DTW,0735,0751,16.00,16.00,1.00,1,0700-0759,32.00,7.00,0924,0937,13.00,13.00,0.00,0,0900-0959,0.00,,0.00,N,109.00,106.00,67.00,1.00,500.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,102,N771AN,12173,32134,HNL,11298,30194,DFW,1846,1842,-4.00,0.00,0.00,-1,1800-1859,18.00,5.00,0600,0545,-15.00,0.00,0.00,-1,0600-0659,0.00,,0.00,N,434.00,423.00,400.00,1.00,3784.00,11,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1020,N339PL,11433,31295,DTW,13303,32467,MIA,0520,0518,-2.00,0.00,0.00,-1,0001-0559,20.00,32.00,0855,0856,1.00,1.00,0.00,0,0800-0859,0.00,,0.00,N,215.00,218.00,166.00,1.00,1145.00,5,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1021,N756US,11057,31057,CLT,12953,31703,LGA,0729,0738,9.00,9.00,0.00,0,0700-0759,29.00,8.00,0914,0925,11.00,11.00,0.00,0,0900-0959,0.00,,0.00,N,105.00,107.00,70.00,1.00,544.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1022,N925NN,11057,31057,CLT,11433,31295,DTW,1300,1432,92.00,92.00,1.00,6,1300-1359,14.00,11.00,1445,1614,89.00,89.00,1.00,5,1400-1459,0.00,,0.00,N,105.00,102.00,77.00,1.00,500.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1022,N925NN,11433,31295,DTW,11057,31057,CLT,1535,1652,77.00,77.00,1.00,5,1500-1559,17.00,22.00,1735,1849,74.00,74.00,1.00,4,1700-1759,0.00,,0.00,N,120.00,117.00,78.00,1.00,500.00,3,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1023,N129AA,11298,30194,DFW,12892,32575,LAX,1735,1925,110.00,110.00,1.00,7,1700-1759,19.00,8.00,1859,2052,113.00,113.00,1.00,7,1800-1859,0.00,,0.00,N,204.00,207.00,180.00,1.00,1235.00,5,
1,1/6/2025 12:00:00 AM,AA,19805,AA,1025,N998AN,15376,30436,TUS,11298,30194,DFW,0800,0754,-6.00,0.00,0.00,-1,0800-0859,14.00,27.00,1112,1115,3.00,3.00,0.00,0,1100-1159,0.00,,0.00,N,132.00,141.00,100.00,1.00,813.00,4,
